ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,7.388,7.32,7.298,7.16,7.375,7.285,7.425,7.515,7.531,7.565,7.675,7.76,7.92,8.005,8.262,8.648,8.932,9.175,9.345,9.69,9.732,9.722,9.725,9.738
35DC,7.355,7.273,7.235,7.084,7.277,7.175,7.287,7.378,7.393,7.425,7.522,7.596,7.759,7.837,8.074,8.431,8.672,8.88,9.023,9.325,9.343,9.307,9.288,9.279
35DP,7.5,7.468,7.47,7.351,7.582,7.53,7.707,7.803,7.827,7.87,8.002,8.124,8.281,8.382,8.651,9.059,9.362,9.604,9.773,10.12,10.077,10.029,9.999,9.98
25DC,7.4,7.301,7.25,7.084,7.274,7.169,7.269,7.368,7.389,7.429,7.531,7.621,7.8,7.891,8.134,8.484,8.716,8.895,9.02,9.32,9.313,9.268,9.239,9.221
25DP,7.645,7.634,7.655,7.551,7.806,7.791,8.006,8.113,8.153,8.216,8.394,8.544,8.71,8.834,9.126,9.556,9.889,10.12,10.29,10.66,10.561,10.494,10.449,10.418
15DC,7.559,7.391,7.329,7.101,7.313,7.209,7.306,7.423,7.462,7.519,7.649,7.777,7.985,8.106,8.376,8.728,8.964,9.092,9.189,9.511,9.5,9.458,9.432,9.417
15DP,7.926,7.889,7.926,7.804,8.108,8.141,8.419,8.548,8.625,8.716,8.976,9.197,9.375,9.549,9.889,10.348,10.721,10.935,11.096,11.504,11.392,11.292,11.222,11.169
10DC,7.709,7.468,7.396,7.121,7.36,7.253,7.357,7.486,7.547,7.608,7.767,7.928,8.155,8.302,8.604,8.958,9.196,9.293,9.358,9.705,9.718,9.678,9.656,9.644
10DP,8.156,8.063,8.109,7.964,8.31,8.368,8.692,8.839,8.959,9.053,9.372,9.653,9.84,10.057,10.441,10.918,11.319,11.543,11.673,12.115,12.055,11.934,11.847,11.78
05DC,7.909,7.603,7.523,7.199,7.46,7.363,7.476,7.626,7.708,7.794,8,8.207,8.469,8.66,9.001,9.364,9.609,9.652,9.687,10.075,10.095,10.057,10.036,10.027
05DP,8.458,8.331,8.395,8.228,8.623,8.73,9.115,9.289,9.435,9.574,9.98,10.324,10.538,10.813,11.257,11.774,12.222,12.416,12.548,13.061,12.995,12.863,12.766,12.691
